"slug","title","excerpt","description","prompt_body","usage","example","difficulty","categories","models","related_tool_slugs"
"sales-dormant-customer-reactivation-email","休眠顧客を掘り起こす再アプローチメール作成プロンプト","取引が止まった顧客に、売り込み感を抑えて再接点をつくるメールを3パターン作成します。","半年以上やり取りのない既存顧客へ、もう一度声をかけるためのメールを作るプロンプトです。過去の取引内容と、その後に自社で変わったこと（新機能・新サービス・事例）を材料に、「なぜ今連絡したのか」が伝わる文面に仕上げます。

一斉送信用ではなく、顧客ごとに少しずつ書き換えて使う前提の構成です。","# ROLE
あなたはBtoBの既存顧客フォローを担当するベテラン営業です。

# GOAL
取引が止まっている顧客に、押し売りにならない自然な理由で再接点をつくるメールを作成してください。返信のハードルを下げ、15分程度の情報交換につなげることが目的です。

# INPUT
- 顧客の会社名・担当者の役職：{会社名・役職}
- 過去の取引内容と時期：{例：2024年に勤怠管理システムを導入、その後更新なし}
- 取引が止まった理由（分かれば）：{例：担当者の異動、予算凍結、不明}
- その後の自社の変化：{新機能・新サービス・価格改定・導入事例など}
- 自分と相手の関係性：{例：前任者から引き継いだ、直接面識あり}

# RULES
- 「ご無沙汰しております」だけで始めず、1〜2文目で連絡した理由を伝える
- 相手の近況を決めつけない。推測は「〜ではないかと思い」のように控えめに書く
- 売り込みは1段落まで。価格や割引は書かない
- 返信しやすいよう、選択肢を2つ示す（例：15分のオンライン／資料送付のみ）
- 1通あたり全角300字以内

# OUTPUT
パターンA：新機能の案内を理由にする
パターンB：同業他社の事例共有を理由にする
パターンC：担当変更・近況確認を理由にする
各パターンに「件名案2つ」「本文」「このパターンが向いている相手」を付けてください。","{ }の部分を顧客ごとに書き換えて実行します。取引が止まった理由が分からない場合は「不明」と書けば、理由に触れない文面になります。
出力された3パターンから相手に合うものを選び、固有名詞や数字を自分で確認してから送信してください。","【入力】会社名：架空の株式会社ミナト物流（総務課長）／2024年に勤怠管理システムを導入、更新なし／理由：不明／変化：シフト自動作成機能を追加

【出力イメージ】
パターンA
件名案：シフト作成の手間を減らす新機能のご案内／ミナト物流様向け：シフト自動作成のご紹介
本文：総務課長 〇〇様　以前、勤怠管理システムをご導入いただいた△△です。先月、物流業のお客様から要望の多かったシフト自動作成機能を追加しましたので、ご案内したくご連絡しました。…","beginner","sales","chatgpt, claude","chatgpt, claude"
"sales-cold-email-3-step-sequence","新規開拓のコールドメール3通シーケンス作成プロンプト","面識のない見込み客へ送る初回・フォロー・最終の3通を、役割を分けて設計します。","新規開拓で送るコールドメールを、1通で終わらせず3通のシーケンスとして設計するプロンプトです。初回で課題を提示し、2通目で具体的な価値を示し、3通目で気持ちよく区切る、という流れで各メールの役割を分けます。

送信先リストの取得方法や送信頻度は、特定電子メール法など関係法令と自社ルールに従ってください。","あなたはアウトバウンド営業のメール設計を専門とするコンサルタントです。
以下の条件で、新規見込み客向けのメール3通を作成してください。

## 前提
- 自社商材：{商材名と、解決できる課題を1文で}
- 狙う業界・役職：{例：従業員50〜300名の製造業、工場長}
- その役職がよく抱える課題：{2〜3個}
- 実績や根拠として使える材料：{導入社数、事例、数値など。なければ「なし」}

## 3通の役割
1通目（Day 0）：相手の課題に気づいてもらう。自社の説明は最小限
2通目（Day 4）：具体例や数値で「自分ごと」にしてもらう
3通目（Day 10）：これで最後と伝え、資料送付など軽い選択肢を残す

## ルール
- 件名は全角20字以内。煽り表現（「必見」「今だけ」など）は使わない
- 本文は1通あたり全角250字以内。1通に依頼は1つだけ
- 根拠のない数値や実績を作らない。材料が「なし」なら数値を使わない
- 相手の社名や役職を差し込む位置を［ ］で示す

## 出力
各メールについて「件名案2つ」「本文」「この1通で相手に取ってほしい行動」を出力してください。
最後に、返信がなかった場合に見直すべきポイントを3つ挙げてください。","商材、狙う業界・役職、課題を具体的に書くほど精度が上がります。実績が手元にない場合は「なし」と入力すると、数値に頼らない文面になります。
［ ］で示された差し込み位置は、送信前に1社ずつ書き換えてください。","【入力】商材：設備点検の記録をスマホで完結できるアプリ／製造業の工場長／課題：紙の点検表の集計、監査前の書類探し

【出力イメージ】
1通目 件名案：点検表の集計、月に何時間かかっていますか
本文：［社名］［役職］様　突然のご連絡失礼いたします。工場長の方から「点検表の集計と監査前の書類探しに追われる」という声をよく伺います。…
取ってほしい行動：課題に心当たりがあれば返信してもらう","intermediate","sales","chatgpt, claude","chatgpt, claude"
"sales-objection-handling-talk-sheet","よくある断り文句への切り返しトーク集作成プロンプト","「高い」「今は不要」「他社を使っている」などの断り文句ごとに、確認質問と切り返しを整理します。","商談やテレアポで頻出する断り文句に対して、すぐ使える切り返しトークを整理するプロンプトです。いきなり反論するのではなく、「本当の理由を確かめる質問」から入る構成にしているため、押しの強い営業トークになりにくいのが特徴です。

チーム内の新人教育やロールプレイの台本としても使えます。","# ROLE
あなたは法人営業の育成担当です。新人でも再現できる切り返しトークを作るのが得意です。

# CONTEXT
- 商材：{商材名・価格帯}
- 主な顧客：{業界・役職}
- 現場でよく聞く断り文句：{例：価格が高い／今は忙しい／他社を使っている／上に相談しないと決められない}

# PROCESS
断り文句ごとに、次の順で考えてください。
1. その言葉の裏にありそうな本当の理由を3つ推測する
2. どの理由かを確かめるための確認質問を1つ作る
3. 理由ごとに、事実ベースの返し方を1つずつ作る
4. それでも難しい場合の「引き際」の一言を作る

# RULES
- 相手を論破する言い方、不安をあおる言い方はしない
- 競合を名指しで否定しない
- 自社の強みとして使う内容は、入力にあるものだけにする

# OUTPUT
断り文句ごとに表形式で出力：
| 想定される本当の理由 | 確認質問 | 返し方 | 引き際の一言 |
最後に、ロールプレイで練習するときの注意点を3つ書いてください。","商材と、実際に現場で聞く断り文句をそのまま入力します。断り文句は自分たちの言葉のまま書くと、より実践的なトークになります。
出力はチームで読み合わせ、自社の実情に合わない返し方は削除・修正して使ってください。","【入力】商材：月額3万円の経費精算クラウド／中小企業の経理責任者／断り文句：今のExcel運用で困っていない

【出力イメージ】
| 本当の理由 | 確認質問 | 返し方 | 引き際 |
| 移行が面倒 | 「今の運用を変えるとしたら、一番負担になりそうなのはどこですか？」 | 既存のExcel項目をそのまま取り込める点を説明 | 「繁忙期が落ち着いた頃に、移行手順の資料だけお送りしてもよいですか」 |","intermediate","sales","chatgpt, claude","chatgpt, claude"
"sales-problem-solving-proposal-storyline","顧客課題から逆算する提案書ストーリー設計プロンプト","ヒアリング内容をもとに、課題→原因→解決策→効果→導入計画の順で提案書の流れを組み立てます。","商談で聞き取った内容を、決裁者にも伝わる提案書のストーリーに組み立てるプロンプトです。機能紹介から始める提案ではなく、「相手の課題とその原因」から逆算して、なぜこの解決策なのかを筋道立てて説明する構成を作ります。

スライドの中身を作る前の、骨組みづくりに使います。","# GOAL
ヒアリング結果をもとに、決裁者が「導入する理由」を納得できる提案書のストーリー（スライド構成）を作成してください。

# INPUT
- 顧客：{業界・規模・提案相手の役職}
- ヒアリングで分かった課題：{箇条書きで}
- 課題によって起きている影響：{時間・コスト・機会損失など、分かる範囲で}
- 自社の解決策：{商材・サービスの内容}
- 決裁者と、その人が気にしそうな点：{例：部長、費用対効果と現場の負担}
- 予算感・導入希望時期：{分かる範囲で}

# RULES
- 1枚目から機能説明を始めない。課題の共有から始める
- 各スライドに「このスライドで相手に納得してほしいこと」を1文で書く
- 効果の数値は、入力にある事実から計算できるものだけにする。試算の場合は前提条件を書く
- 反対意見が出そうな箇所には、先回りした補足スライドを入れる

# OUTPUT
1. 提案の一文要約（誰の、どんな課題を、どう解決するか）
2. スライド構成（10〜12枚）：番号／タイトル／伝えたいこと／載せる材料
3. 決裁者から出そうな質問と、答えの準備メモ（3〜5個）","ヒアリングメモを整理して入力欄に貼り付けます。課題の影響（何時間かかっている、など）が分かっていると、効果の説明が具体的になります。
スライド構成ができたら、各スライドの中身を別途作成するか、Gammaなどの資料作成ツールに構成を渡して下書きを作ると効率的です。","【入力】中堅の建設会社／工事部長／課題：現場写真の整理に毎日1時間、報告書の差し戻しが多い／解決策：写真自動仕分け付きの施工管理アプリ

【出力イメージ】
一文要約：現場監督が毎日1時間かけている写真整理をなくし、報告書の差し戻しを減らす提案
スライド3：「写真整理にかかっている時間」— 伝えたいこと：年間でどれだけの工数になっているか（試算の前提：監督10名×1時間×240日）…","intermediate","sales","claude, chatgpt","claude, chatgpt, gamma"
"sales-competitor-battle-card","競合比較バトルカード作成プロンプト","競合ごとの強み・弱み・よく出る比較質問と答え方を、営業が商談中に見られる1枚に整理します。","商談で競合と比較されたときに慌てないよう、営業チーム用の「バトルカード」を作るプロンプトです。公開情報と自社が把握している事実を分けて整理し、競合の強みを認めたうえで自社を選ぶ理由を説明できるようにします。

競合情報は変わりやすいため、料金や機能は必ず最新の公式情報で確認してから使ってください。","# ROLE
あなたは営業企画（セールスイネーブルメント）の担当者です。

# INPUT
- 自社商材と主な強み：{箇条書き}
- 比較される競合：{競合名}
- 競合について分かっていること：{公式サイト・資料・商談で聞いた内容。出典も書く}
- 失注・受注したときによく出た比較ポイント：{例：価格、サポート体制、連携機能}

# RULES
- 「公開情報で確認できる事実」「商談で聞いた未確認情報」「推測」を必ず区別して表示する
- 競合の強みは正直に書く。弱みの誇張や根拠のない批判はしない
- 料金・機能など変わりやすい情報には「最終確認日：____」の記入欄を付ける
- 商談中に10秒で読めるよう、1項目は1〜2行にする

# OUTPUT
## 競合：{競合名}
1. ひとことで言うと（競合のポジション）
2. 競合が選ばれやすい場面
3. 自社が選ばれやすい場面
4. 比較表（価格／機能／サポート／導入期間 などの観点）※情報の確度も表示
5. よく出る質問と答え方（5つ）
6. 絶対に言ってはいけないこと（誤解や法的リスクのある表現）","競合について手元にある情報を、出典（公式サイト、商談メモなど）と一緒に入力します。PerplexityやGeminiで公開情報を調べてから貼り付けると、事実と推測の区別がしやすくなります。
完成したカードはチームで共有し、商談で新しい情報が出たら更新していく運用がおすすめです。","【入力】自社：中小企業向け労務管理クラウド／競合：架空のB社（大手向けで多機能）／比較ポイント：価格と導入期間

【出力イメージ】
1. ひとことで言うと：B社は大企業向けの多機能型。設定の自由度が高い分、導入に時間がかかる傾向（商談で聞いた情報・未確認）
3. 自社が選ばれやすい場面：専任の労務担当がいない、1か月以内に運用を始めたい…","advanced","sales","gemini, chatgpt","gemini, perplexity, chatgpt"
"sales-account-research-from-ir-news","IR資料とニュースから訪問先の経営課題を読み解くプロンプト","上場企業の決算資料やニュースを要約し、提案につながる経営課題と話題の切り口を整理します。","訪問前に、相手企業の決算説明資料・中期経営計画・ニュースから経営課題を読み取るためのプロンプトです。資料の要約だけでなく、「自社の商材が関係しそうなテーマ」と「初回の会話で使える話題」まで整理します。

AIの読み取りには誤りが含まれる可能性があるため、引用した数値は必ず原資料で確認してください。","あなたは企業分析に強い営業リサーチャーです。以下の資料を読み、訪問準備のためのアカウント調査メモを作成してください。

【訪問先】{企業名}
【自社の商材】{商材名と提供価値}
【資料】
{決算説明資料・中期経営計画・ニュース記事などの本文を貼り付け。URLだけの場合は内容を要約して貼る}

【作成ルール】
- 資料に書かれている事実と、あなたの解釈をはっきり分ける（解釈には「解釈：」と付ける）
- 数値を引用するときは、資料内のどこに書かれていたかを添える
- 資料にないことは推測で補わない。「資料からは不明」と書く
- 自社商材との関係は、こじつけにならない範囲で書く

【出力】
1. 会社の現状（3行）
2. 経営が重視しているテーマ（最大3つ）と根拠
3. そのテーマに関連して現場で起きていそうな課題（解釈）
4. 自社商材が関係しうる領域と、関係しない領域
5. 初回訪問で使える質問（5つ）
6. 事前に原資料で確認すべき数値・記述の一覧","決算資料やニュースの本文をコピーして貼り付けます。長い資料はGeminiやNotebookLMなど長文に強いツールを使うと扱いやすくなります。
出力の「事前に確認すべき数値」は、訪問前に必ず原資料と照らし合わせてください。","【入力】架空の上場企業：株式会社サンプル食品／自社商材：需要予測SaaS／資料：中期経営計画の要約（廃棄ロス削減と物流費の上昇を課題として記載）

【出力イメージ】
2. 重視しているテーマ：①食品廃棄ロスの削減（中計p.8に目標記載）②物流コストの抑制…
5. 初回訪問で使える質問：「廃棄ロス削減の目標に対して、現場ではどの工程が一番の論点になっていますか？」","intermediate","sales","gemini, claude","gemini, notebooklm, perplexity"
"sales-post-meeting-thank-you-next-step","商談後のお礼と次回アクション確認メール作成プロンプト","商談メモから、合意事項・宿題・次回日程が一目で分かるお礼メールを作成します。","商談が終わった直後に送る、お礼と確認のメールを作るプロンプトです。お礼の言葉だけでなく、商談で合意したこと・お互いの宿題・次の予定を整理して書くことで、認識のずれや案件の停滞を防ぎます。

商談当日中に送ることを想定した、短く読みやすい構成です。","以下の商談メモをもとに、商談相手へ送るお礼メールを作成してください。

■ 相手：{会社名・氏名・役職}
■ 商談日と形式：{例：9月10日 オンライン}
■ 商談メモ：
{話した内容・相手の反応・質問されたことを箇条書きで貼り付け}
■ こちらの宿題：{例：見積書送付、事例資料の送付}
■ 相手の宿題：{例：社内での要件確認}
■ 次回の予定（未定なら「未定」）：{日時・内容}

ルール：
- 冒頭のお礼は2文以内。相手が話してくれた具体的な内容に1つ触れる
- 「本日の確認事項」「今後の進め方」を見出しで分け、箇条書きにする
- 宿題には期限を書く。期限が未定なら候補日を提案する
- メモにない約束や金額を書かない
- 全体で全角400字程度

出力：件名、本文。最後に「送信前に確認すべき点」を2つ挙げてください。","商談メモを箇条書きのまま貼り付ければ大丈夫です。相手の宿題も書いておくと、角が立たない形で確認をお願いする文面になります。
金額や日付は送信前に必ず自分で確認してください。","【入力】相手：架空の株式会社ハルタ 情報システム課 係長／9月10日オンライン／メモ：既存システムとのCSV連携を気にしていた／こちらの宿題：連携仕様書を送付／次回：未定

【出力イメージ】
件名：本日のお打ち合わせのお礼（CSV連携仕様書の送付について）
本文：本日はお時間をいただきありがとうございました。既存の販売管理システムとのCSV連携について、具体的な運用を伺えたことが大変参考になりました。
■本日の確認事項
・…
■今後の進め方
・弊社：連携仕様書を9月12日（木）までにお送りします","beginner","sales","chatgpt, claude","chatgpt, claude"
"sales-price-negotiation-preparation","値引き要求に備える価格交渉の準備シート作成プロンプト","値引きを求められたときの譲れる条件・譲れない条件・代替案を事前に整理します。","見積提示後に値引きを求められる場面に備えて、交渉の準備シートを作るプロンプトです。いきなり値下げで応じるのではなく、支払条件・契約期間・導入範囲などの「価格以外の交換条件」を事前に整理し、利益を守りながら合意点を探れるようにします。

実際の値引き幅や決裁ルールは、必ず社内規定に従ってください。","# ROLE
あなたはBtoB取引の価格交渉を支援する営業マネージャーです。

# CONTEXT
- 商材と見積金額：{商材・金額・契約形態}
- 相手の要求：{例：20%値引きしてほしい、競合はもっと安いと言われた}
- 相手にとっての導入メリット：{分かっている範囲で}
- 社内の決裁条件：{例：10%までは課長決裁、それ以上は部長}
- 競合の状況：{分かっている範囲。不明なら「不明」}

# PROCESS
1. 相手が値引きを求める本当の理由を推測し、確認質問を作る
2. 価格以外に動かせる条件を洗い出す（契約期間、支払条件、導入範囲、オプション、導入時期など）
3. 「こちらが譲る条件」と「代わりにお願いする条件」をセットで3案作る
4. 交渉決裂ライン（これ以下なら取引しない条件）を明確にする

# RULES
- 「他社はもっと安い」への対応では、比較条件（範囲・サポート）が同じか確認する質問を必ず入れる
- 社内の決裁条件を超える案は出さない

# OUTPUT
1. 交渉前に確認する質問（3つ）
2. 交換条件の3案（表：こちらが譲る／代わりにお願いする／利益への影響）
3. 決裂ラインと、その伝え方
4. 当日の会話の流れ（冒頭〜合意まで）","見積の内容と、相手から言われたことをそのまま入力します。社内の決裁条件を書いておくと、その範囲内で案を作ります。
実際の交渉では、案をそのまま読み上げるのではなく、相手の反応を見ながら順番を入れ替えて使ってください。","【入力】年間契約のWeb会議システム 120万円／要求：15%値引き、競合はもっと安い／決裁：10%まで課長決裁

【出力イメージ】
交換条件 案1：3年契約にしていただく代わりに、年額を8%下げる（年間利益への影響：-9.6万円、ただし解約リスクが下がる）
案2：価格は据え置き、導入研修を無償で追加…","advanced","sales","claude, chatgpt","claude, chatgpt"
"sales-lost-deal-retrospective","失注案件の振り返りと改善策を整理するプロンプト","失注した商談の経緯から、原因を「自社で変えられること」と「変えられないこと」に分けて分析します。","失注した案件を、感情的な反省で終わらせず次の商談に活かすための振り返りプロンプトです。商談の経緯と相手の反応を時系列で整理し、どの段階で何が起きていたのかを分析します。原因を「自社で改善できること」と「外部要因」に分けるので、チーム内の振り返り会の資料としても使えます。","あなたは営業チームの振り返りを進行するファシリテーターです。次の失注案件を分析してください。

## 案件情報
- 顧客：{業界・規模}
- 商材・金額：{内容}
- 商談の経緯（時系列）：
{初回接触〜失注連絡までの出来事を箇条書き}
- 失注理由として相手から聞いたこと：{例：価格、他社に決定、見送り}
- 競合（分かれば）：{競合名または不明}

## 分析の手順
1. 経緯を「認知→課題共有→提案→比較検討→決裁」の段階に振り分ける
2. 各段階で、うまくいったこと／懸念のサインが出ていたことを挙げる
3. 相手が言った失注理由の「裏にありそうな理由」を検討する
4. 原因を「自社で変えられること」「変えられないこと」に分類する

## ルール
- 個人を責める書き方をしない。行動とプロセスに焦点を当てる
- 経緯にない出来事を推測で足さない。推測には「推測：」と付ける

## 出力
1. 失注の要因まとめ（3行）
2. 段階別の振り返り表
3. 次の類似案件で試す改善策（具体的な行動として3つ）
4. 案件管理（SFA/CRM）に記録すべき学び（1〜2行）","商談の経緯は、日付と出来事を箇条書きにして貼り付けるだけで大丈夫です。相手の発言はできるだけそのまま書くと、分析の精度が上がります。
改善策はチームで話し合い、次の案件で試すものを1つに絞ると定着しやすくなります。","【入力】中小の会計事務所／勤怠管理SaaS 年60万円／経緯：初回→デモ→見積提出→2週間連絡なし→他社に決定と連絡

【出力イメージ】
1. 要因まとめ：デモ後に決裁者と会えないまま見積を出しており、比較検討の段階で情報が届いていなかった可能性（推測）
3. 改善策：デモの最後に「最終的にご判断されるのはどなたですか」を必ず確認する…","intermediate","sales","claude, chatgpt","claude, chatgpt"
"sales-pipeline-priority-review","案件パイプラインの確度見直しと優先順位付けプロンプト","案件一覧を貼るだけで、確度の根拠を点検し、今週注力すべき案件と打ち手を整理します。","営業案件の一覧から、確度（受注見込み）の付け方が妥当かを点検し、限られた時間をどの案件に使うべきかを整理するプロンプトです。予算・決裁者・ニーズ・時期などの観点で根拠が弱い案件を洗い出し、次に取るべき行動まで具体化します。

営業会議の前準備や、マネージャーによる案件レビューに向いています。","# ROLE
あなたは法人営業のマネージャーで、案件レビューの進行役です。

# INPUT
案件一覧（CSVや表をそのまま貼り付け）：
{案件名／金額／確度／フェーズ／決裁者との接点／予算の有無／次回アクション／最終更新日 など}

今期の目標と現状：{例：目標3,000万円、受注済み1,800万円}
使える時間の目安：{例：今週の商談枠は8コマ}

# PROCESS
1. 各案件の確度が、予算・決裁者・ニーズ・導入時期の4観点で裏付けられているか点検する
2. 根拠が弱いのに確度が高い案件、最終更新が古い案件を「要確認」として抽出する
3. 目標との差額を埋めるのに必要な案件の組み合わせを検討する
4. 今週やるべき行動を、案件ごとに1つずつ決める

# RULES
- 一覧にない情報は推測で補わず「不明」とする
- 確度を上げる/下げる提案には、必ず理由を添える
- 行動は「誰に・何を・いつまでに」の形で書く

# OUTPUT
1. サマリー（見込み合計、目標との差、リスク）
2. 確度の見直し提案（表：案件名／現在の確度／提案／理由）
3. 今週の注力案件トップ5と具体的な行動
4. 手放す・保留にしてよい案件と、その判断理由","SFAやスプレッドシートの案件一覧をそのまま貼り付けます。列名がバラバラでも読み取れますが、「決裁者との接点」「予算の有無」があると点検の精度が大きく上がります。
社外秘の情報を含む場合は、社名を記号に置き換えるなど、社内のAI利用ルールに従ってください。","【入力】案件A 500万円 確度80% 決裁者未接触 最終更新30日前／案件B 200万円 確度40% 予算確保済み…

【出力イメージ】
確度の見直し：案件A 80%→50%を提案（理由：決裁者との接点がなく、30日間更新がない）
今週の行動：案件A…担当者に「決裁までの流れ」を確認する打ち合わせを水曜までに設定","advanced","sales","claude, chatgpt","claude, chatgpt, microsoft-copilot"
