title,slug,company_name,official_url,short_description,pricing_type,japanese_support,tool_status,rating_overall,is_featured,display_order,category,feature,tag,platform
ChatGPT,chatgpt,OpenAI,https://chatgpt.com/,"質問応答から文章作成、調査、画像生成、データ分析、コード支援まで一つで幅広くこなせる総合型AIアシスタント。利用目的に合わせて導入を検討できます。",freemium,full,active,4.9,1,1,"AIチャット,文章生成","文章作成,要約,翻訳,Web検索,画像生成,コード生成,データ分析","初心者向け,日本語対応,無料プランあり,スマホ対応","Web,iOS,Android,macOS,Windows"
Claude,claude,Anthropic,https://claude.ai/,"長い資料の読解や要約、自然な文章作成、複雑な思考整理、コーディングを丁寧な対話で支援する生成AI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.8,1,2,"AIチャット,文章生成","文章作成,要約,翻訳,コード生成,データ分析","初心者向け,日本語対応,無料プランあり,スマホ対応","Web,iOS,Android,macOS,Windows"
Gemini,gemini,Google LLC,https://gemini.google.com/,"Googleの検索や各種サービスと連携し、文章、画像、音声を横断して調査や日常業務を支援するマルチモーダルAI。利用目的に合わせて導入を検討できます。",freemium,full,active,4.8,1,3,"AIチャット,検索","文章作成,要約,翻訳,Web検索,画像生成,データ分析","初心者向け,日本語対応,無料プランあり,スマホ対応","Web,iOS,Android"
Perplexity,perplexity,"Perplexity AI, Inc.",https://www.perplexity.ai/,"回答の根拠となる情報源を示しながらWebを検索し、複数ページの内容を短時間で整理できる対話型AI検索サービス。利用目的に合わせて導入を検討できます。",freemium,full,active,4.7,1,4,"検索,AIチャット","Web検索,要約,データ分析","初心者向け,日本語対応,無料プランあり,スマホ対応","Web,iOS,Android,macOS"
Grok,grok,xAI,https://grok.com/,"リアルタイム性の高い情報検索と会話、推論、画像生成に対応し、X上の話題も調べやすい汎用AIアシスタント。利用目的に合わせて導入を検討できます。",freemium,full,active,4.4,0,5,"AIチャット,検索","文章作成,要約,Web検索,画像生成,コード生成","日本語対応,無料プランあり,スマホ対応","Web,iOS,Android"
NotebookLM,notebooklm,Google LLC,https://notebooklm.google.com/,"手持ちのPDFやWeb資料を根拠に質問へ回答し、要約、学習ガイド、音声解説まで作成できるリサーチ支援AI。利用目的に合わせて導入を検討できます。",free,full,active,4.7,1,6,"教育,仕事効率化","要約,データ分析,音声合成","初心者向け,日本語対応,無料プランあり,高精度","Web,iOS,Android"
Microsoft Copilot,microsoft-copilot,Microsoft Corporation,https://copilot.microsoft.com/,"Web検索を伴う質問応答や文章・画像生成に加え、Microsoft製品と連携して日常業務を支えるAIアシスタント。利用目的に合わせて導入を検討できます。",freemium,full,active,4.5,0,7,"AIチャット,仕事効率化","文章作成,要約,Web検索,画像生成","初心者向け,日本語対応,無料プランあり,スマホ対応","Web,Windows,iOS,Android"
Poe,poe,"Quora, Inc.",https://poe.com/,"複数企業のAIモデルやユーザー作成ボットを一つの画面で試し、用途に応じて回答を比較できる対話型AIプラットフォーム。利用目的に合わせて導入を検討できます。",freemium,full,active,4.3,0,8,"AIチャット","文章作成,要約,翻訳,画像生成,コード生成","初心者向け,日本語対応,無料プランあり,スマホ対応","Web,iOS,Android,macOS,Windows"
Le Chat,le-chat,Mistral AI,https://chat.mistral.ai/,"高速な会話、文書分析、Web検索、画像生成をまとめて利用でき、Mistralのモデルを手軽に試せる汎用AIアシスタント。利用目的に合わせて導入を検討できます。",freemium,full,active,4.3,0,9,"AIチャット,検索","文章作成,要約,翻訳,Web検索,画像生成,コード生成","日本語対応,無料プランあり,高速","Web,iOS,Android"
You.com,you-com,You.com,https://you.com/,"複数の情報源を検索しながら回答をまとめ、調査、文章作成、コード支援を一つのワークスペースで進められるAI検索サービス。利用目的に合わせて導入を検討できます。",freemium,full,active,4.2,0,10,"検索,AIチャット","Web検索,要約,文章作成,コード生成","日本語対応,無料プランあり","Web,iOS,Android"
